script,amount_in_percentage_margin,leverage_margin,amount_in_percentage_co,leverage_margin_co
ROSSARI,20,5,12,8
ROUTE,20,5,12,8
SAIL,29.95,3,17.97,6
SANDHAR,21.03,5,12.62,8
SANOFI,20,5,12,8
SARDAEN,20,5,12,8
SBICARD,20,5,12,8
SBILIFE,10.23,10,6.14,16
SBIN,20,5,12,8
SCHAEFFLER,20,5,12,8
SCI,20,5,12,8
SFL,20,5,12,8
SHK,20,5,12,8
SHREECEM,9.21,11,5.53,18
SIEMENS,8.43,12,5.06,20
SIS,20,5,12,8
SIYSIL,20,5,12,8
SJVN,20,5,12,8
SKFINDIA,20,5,12,8
SOLARINDS,20,5,12,8
SONATSOFTW,20,5,12,8
SPARC,20,5,12,8
SPENCERS,20,5,12,8
SRF,20,5,12,8
SRTRANSFIN,20,5,12,8
STAR,20,5,12,8
STARCEMENT,20,5,12,8
SUDARSCHEM,20.52,5,12.31,8
SUMICHEM,20,5,12,8
SUNDARMFIN,20,5,12,8
SUNDRMFAST,20,5,12,8
SUNPHARMA,9.38,11,5.63,18
SUNTECK,20,5,12,8
SUNTV,20,5,12,8
SUPRAJIT,20,5,12,8
SUPREMEIND,20,5,12,8
SYMPHONY,20,5,12,8
SYNGENE,20,5,12,8
TASTYBITE,20,5,12,8
TATACHEM,20,5,12,8
TATACOFFEE,21.63,5,12.98,8
TATACONSUM,20,5,12,8
TATAELXSI,20,5,12,8
TATAINVEST,20,5,12,8
TATAMOTORS,27.5,4,16.5,6
TATAPOWER,11.92,8,7.15,14
TATASTEEL,11.18,9,6.71,15
TATASTLBSL,20,5,12,8
TCI,20,5,12,8
TCS,8.55,12,5.13,20
TEAMLEASE,20,5,12,8
TECHM,9.65,10,5.79,17
THERMAX,24.48,4,14.69,7
TIDEWATER,20,5,12,8
TITAN,10.28,10,6.17,16
TNPETRO,20,5,12,8
TNPL,20,5,12,8
TORNTPHARM,9.44,11,5.66,18
TORNTPOWER,8.33,12,5,20
TRENT,20,5,12,8
TRITURBINE,20,5,12,8
TTKPRESTIG,20,5,12,8
TVSMOTOR,10.08,10,6.05,17
TVSSRICHAK,20,5,12,8
UBL,20,5,12,8
UFLEX,20,5,12,8
UJJIVAN,13.89,7,8.33,12
ULTRACEMCO,9.27,11,5.56,18
UNIONBANK,20,5,12,8
UPL,20,5,12,8
UTIAMC,12.5,8,7.5,13
VBL,20,5,12,8
VEDL,20,5,12,8
VGUARD,20,5,12,8
VIPIND,20,5,12,8
VMART,20,5,12,8
VOLTAMP,20,5,12,8
VOLTAS,9.05,11,5.43,18
VSTIND,20,5,12,8
WABCOINDIA,20,5,12,8
WATERBASE,20,5,12,8
WESTLIFE,20,5,12,8
WHIRLPOOL,20,5,12,8
WIPRO,20,5,12,8
WONDERLA,20,5,12,8
ZEEL,20,5,12,8
ZYDUSWELL,20,5,12,8
